source_type,event_id,case_id,node,has_context,missing_fields,non_informative_fields,gap_type,notes
historical_case,,case_2021_belarus_potash_sanctions,agriculture,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_russia_fertilizer_export_restrictions,agriculture,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_cyber_port_disruption,,ports,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_port_of_nagoya_cyberattack,ports,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_dp_world_australia_cyber_port_disruption,ports,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_cyber_port_disruption,,logistics,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2017_notpetya_shipping_logistics_cyberattack,logistics,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_port_of_nagoya_cyberattack,logistics,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_lng_shipping_sanctions,,lng_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_arctic_lng_russian_energy_shipping_sanctions,lng_shipping,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_nord_stream_pipeline_sabotage,lng_shipping,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_lng_shipping_sanctions,,marine_insurance,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_arctic_lng_russian_energy_shipping_sanctions,marine_insurance,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_trade_tariff_customs,,customs,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_eu_carbon_border_adjustment_mechanism,customs,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2018_2019_us_china_tariffs,customs,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_trade_tariff_customs,,trade_lanes,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_eu_carbon_border_adjustment_mechanism,trade_lanes,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2018_2019_us_china_tariffs,trade_lanes,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_cyber_port_disruption,,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2021_colonial_pipeline_ransomware,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_gas_fertilizer_shock,energy,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_graphite_export_controls,,logistics,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2021_myanmar_coup_supply_chain_disruption,logistics,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2024_us_east_gulf_port_strike,logistics,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_semiconductor_export_controls,,aviation,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2019_india_pakistan_airspace_closure,aviation,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_russia_airspace_closure_aviation_routes,aviation,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_food_export_restriction,,financial_sanctions,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2014_crimea_financial_sanctions,financial_sanctions,True,,,fully_covered,all required node-level context fields are informative
current_event_projection,dev_lng_shipping_sanctions,,trade_lanes,False,shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,missing_context,current_event_projection context is absent for dev_lng_shipping_sanctions / trade_lanes
historical_case,,case_2023_arctic_lng_russian_energy_shipping_sanctions,trade_lanes,False,shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,missing_context,historical_case context is absent for case_2023_arctic_lng_russian_energy_shipping_sanctions / trade_lanes
current_event_projection,dev_trade_tariff_customs,,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2023_eu_carbon_border_adjustment_mechanism,energy,True,,,fully_covered,all required node-level context fields are informative
historical_case,,case_2022_russia_fertilizer_export_restrictions,energy,True,,,fully_covered,all required node-level context fields are informative
