source,event_id,node,audit_label,raw_voting_result,rule6_result,structured_context_result,raw_support_count,compatible_support_count,incompatible_support_count,insufficient_context_count,supporting_case_ids,compatible_case_ids,incompatible_case_ids,insufficient_context_case_ids,candidate_under_raw_rule,candidate_under_structured_rule,structured_correct,case_decisions_json
clean_control,eval_cyber_port_pipeline_disruption,maritime_chokepoint,mixed,keep,keep,reject,2,1,1,0,case_2021_suez_blockage;case_2023_red_sea_attacks,case_2023_red_sea_attacks,case_2021_suez_blockage,,True,False,False,"[{""case_id"": ""case_2021_suez_blockage"", ""reason"": ""canonical context, role, and constraint do not match"", ""status"": ""incompatible""}, {""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_dutch_asml_export_controls,defense,consistent,keep,keep,reject,3,1,2,0,case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk;case_2010_china_japan_rare_earth_embargo,case_2010_china_japan_rare_earth_embargo,case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk,,True,False,False,"[{""case_id"": ""case_2024_taiwan_strait_drills_semiconductor_supply"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_taiwan_strait_semiconductor_risk"", ""reason"": ""supporting node is contextual background, not a mechanism vote"", ""status"": ""incompatible""}, {""case_id"": ""case_2010_china_japan_rare_earth_embargo"", ""reason"": ""same active node role and constraint type"", ""status"": ""compatible""}]"
clean_control,eval_food_export_grain_restriction,marine_insurance,consistent,keep,keep,keep,2,2,0,0,case_2023_black_sea_shipping_insurance_restrictions;case_2023_red_sea_attacks,case_2023_black_sea_shipping_insurance_restrictions;case_2023_red_sea_attacks,,,True,True,True,"[{""case_id"": ""case_2023_black_sea_shipping_insurance_restrictions"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""same active node role and constraint type"", ""status"": ""compatible""}]"
clean_control,eval_middle_east_oil_infrastructure_attack,defense,consistent,keep,keep,keep,3,3,0,0,case_2022_abu_dhabi_oil_facility_attack;case_israel_iran_escalation_energy_risk;case_1987_1988_tanker_war_reflagging,case_1987_1988_tanker_war_reflagging;case_2022_abu_dhabi_oil_facility_attack;case_israel_iran_escalation_energy_risk,,,True,True,True,"[{""case_id"": ""case_2022_abu_dhabi_oil_facility_attack"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_israel_iran_escalation_energy_risk"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_1987_1988_tanker_war_reflagging"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_middle_east_oil_infrastructure_attack,marine_insurance,consistent,keep,keep,keep,2,2,0,0,case_israel_iran_escalation_energy_risk;case_hormuz_tanker_tensions;case_1987_1988_tanker_war_reflagging,case_hormuz_tanker_tensions;case_israel_iran_escalation_energy_risk,,,True,True,True,"[{""case_id"": ""case_israel_iran_escalation_energy_risk"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_hormuz_tanker_tensions"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_panama_canal_drought,container_shipping,consistent,keep,keep,keep,2,2,0,0,case_panama_canal_drought_shipping_capacity;case_2021_suez_blockage,case_2021_suez_blockage;case_panama_canal_drought_shipping_capacity,,,True,True,True,"[{""case_id"": ""case_panama_canal_drought_shipping_capacity"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2021_suez_blockage"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_oil_shipping_chokepoint,oil_shipping,consistent,keep,keep,keep,3,3,0,0,case_hormuz_tanker_tensions;case_1987_1988_tanker_war_reflagging;case_2023_red_sea_attacks,case_1987_1988_tanker_war_reflagging;case_2023_red_sea_attacks;case_hormuz_tanker_tensions,,,True,True,True,"[{""case_id"": ""case_hormuz_tanker_tensions"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_1987_1988_tanker_war_reflagging"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_middle_east_oil_infrastructure_attack,refining,consistent,keep,keep,keep,2,2,0,0,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock,,,True,True,True,"[{""case_id"": ""case_middle_east_oil_supply_disruption"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_opec_production_cut_policy_shock"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_natural_gas_fertilizer_shock,petrochemicals,consistent,keep,keep,keep,2,2,0,0,case_2022_gas_fertilizer_shock;case_russia_ukraine_energy_shock,case_2022_gas_fertilizer_shock;case_russia_ukraine_energy_shock,,,True,True,True,"[{""case_id"": ""case_2022_gas_fertilizer_shock"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_russia_ukraine_energy_shock"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_natural_gas_fertilizer_shock,energy,consistent,keep,keep,keep,2,2,0,0,case_2022_gas_fertilizer_shock;case_russia_ukraine_energy_shock,case_2022_gas_fertilizer_shock;case_russia_ukraine_energy_shock,,,True,True,True,"[{""case_id"": ""case_2022_gas_fertilizer_shock"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_russia_ukraine_energy_shock"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_us_china_tariffs,trade_lanes,mixed,keep,keep,keep,2,2,0,0,case_2018_2019_us_china_tariffs;case_2024_ev_tariff_escalation_china,case_2018_2019_us_china_tariffs;case_2024_ev_tariff_escalation_china,,,True,True,True,"[{""case_id"": ""case_2018_2019_us_china_tariffs"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2024_ev_tariff_escalation_china"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
clean_control,eval_red_sea_shipping_disruption,maritime_chokepoint,consistent,keep,keep,keep,2,2,0,0,case_2023_red_sea_attacks;case_2008_somali_piracy_gulf_of_aden,case_2008_somali_piracy_gulf_of_aden;case_2023_red_sea_attacks,,,True,True,True,"[{""case_id"": ""case_2023_red_sea_attacks"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}, {""case_id"": ""case_2008_somali_piracy_gulf_of_aden"", ""reason"": ""same canonical transmission context"", ""status"": ""compatible""}]"
