case_id,event_type,node,migration_status,existing_context,proposed_context,missing_fields,evidence_basis,confidence,notes
case_2023_red_sea_attacks,maritime security disruption,logistics,resolvable,{},"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""logistics"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""vessel_security_risk""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_hormuz_tanker_tensions,energy chokepoint security risk,maritime_chokepoint,already_migrated,"{""canonical_context"": ""energy_chokepoint_security_constraint"", ""constraint_type"": ""security_risk"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""hormuz_tanker_security_incidents""}","{""canonical_context"": ""energy_chokepoint_security_constraint"", ""constraint_type"": ""security_risk"", ""node"": ""maritime_chokepoint"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""hormuz_tanker_security_incidents""}",,existing development-enriched node context,high,Preserved without modification.
case_hormuz_tanker_tensions,energy chokepoint security risk,oil_shipping,already_migrated,"{""canonical_context"": ""oil_shipping_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""oil_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""tanker_security_incidents""}","{""canonical_context"": ""oil_shipping_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""oil_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""tanker_security_incidents""}",,existing development-enriched node context,high,Preserved without modification.
case_hormuz_tanker_tensions,energy chokepoint security risk,lng_shipping,resolvable,{},"{""canonical_context"": ""energy_shipping_sanctions_route_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""lng_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_hormuz_tanker_tensions,energy chokepoint security risk,marine_insurance,already_migrated,"{""canonical_context"": ""energy_shipping_insurance_constraint"", ""constraint_type"": ""insurance_constraint"", ""node"": ""marine_insurance"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""financing_or_insurance_channel"", ""upstream_driver"": ""tanker_security_incidents""}","{""canonical_context"": ""energy_shipping_insurance_constraint"", ""constraint_type"": ""insurance_constraint"", ""node"": ""marine_insurance"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""financing_or_insurance_channel"", ""upstream_driver"": ""tanker_security_incidents""}",,existing development-enriched node context,high,Preserved without modification.
case_hormuz_tanker_tensions,energy chokepoint security risk,energy,ambiguous,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,low,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_hormuz_tanker_tensions,energy chokepoint security risk,refining,resolvable,{},"{""canonical_context"": ""refining_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""refining"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""downstream_exposure"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_russia_ukraine_energy_shock,war and sanctions energy disruption,energy,already_migrated,"{""canonical_context"": ""energy_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""energy"", ""shock_type"": ""sanctions"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""gas_and_energy_feedstock_disruption""}","{""canonical_context"": ""energy_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""energy"", ""shock_type"": ""sanctions"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""gas_and_energy_feedstock_disruption""}",,existing development-enriched node context,high,Preserved without modification.
case_russia_ukraine_energy_shock,war and sanctions energy disruption,lng_shipping,resolvable,{},"{""canonical_context"": ""energy_shipping_sanctions_route_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""lng_shipping"", ""shock_type"": ""sanctions"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""military_invasion""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_russia_ukraine_energy_shock,war and sanctions energy disruption,refining,resolvable,{},"{""canonical_context"": ""refining_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""refining"", ""shock_type"": ""sanctions"", ""target_node_role"": ""downstream_exposure"", ""upstream_driver"": ""military_invasion""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_russia_ukraine_energy_shock,war and sanctions energy disruption,petrochemicals,already_migrated,"{""canonical_context"": ""petrochemical_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""petrochemicals"", ""shock_type"": ""sanctions"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""gas_and_energy_feedstock_disruption""}","{""canonical_context"": ""petrochemical_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""petrochemicals"", ""shock_type"": ""sanctions"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""gas_and_energy_feedstock_disruption""}",,existing development-enriched node context,high,Preserved without modification.
case_russia_ukraine_energy_shock,war and sanctions energy disruption,manufacturing_inputs,vocabulary_gap_candidate,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,medium,No frozen canonical_context precisely represents this node's mechanism.
case_2022_us_china_semiconductor_controls,technology export controls,ai_chips,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""ai_chips"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""export_control_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_us_china_semiconductor_controls,technology export controls,semiconductor_equipment,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""export_control_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_us_china_semiconductor_controls,technology export controls,eda_software,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""eda_software"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""export_control_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_us_china_semiconductor_controls,technology export controls,foundry,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""foundry"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""export_control_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_us_china_semiconductor_controls,technology export controls,data_centers,resolvable,{},"{""canonical_context"": ""logistics_cyber_capacity_constraint"", ""constraint_type"": ""capacity_reduction"", ""node"": ""data_centers"", ""shock_type"": ""cyber_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""export_control_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2023_dutch_asml_controls,technology export controls,semiconductor_equipment,already_migrated,"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""advanced_lithography_export_controls""}","{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""advanced_lithography_export_controls""}",,existing development-enriched node context,high,Preserved without modification.
case_2023_dutch_asml_controls,technology export controls,foundry,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""foundry"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""national_export_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2023_dutch_asml_controls,technology export controls,customs,resolvable,{},"{""canonical_context"": ""tariff_customs_compliance_constraint"", ""constraint_type"": ""compliance_constraint"", ""node"": ""customs"", ""shock_type"": ""regulatory_restriction"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""national_export_rules""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,ai_chips,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""ai_chips"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""entity_listing""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,semiconductor_equipment,already_migrated,"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""entity_list_supply_restriction""}","{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""entity_list_supply_restriction""}",,existing development-enriched node context,high,Preserved without modification.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,eda_software,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""eda_software"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""entity_listing""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,manufacturing_inputs,vocabulary_gap_candidate,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,medium,No frozen canonical_context precisely represents this node's mechanism.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,data_centers,ambiguous,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,low,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_2019_huawei_entity_list,technology sanctions and trade restrictions,customs,resolvable,{},"{""canonical_context"": ""tariff_customs_compliance_constraint"", ""constraint_type"": ""compliance_constraint"", ""node"": ""customs"", ""shock_type"": ""regulatory_restriction"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""entity_listing""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2018_2019_us_china_tariffs,trade policy and tariffs,trade_lanes,already_migrated,"{""canonical_context"": ""tariff_trade_compliance_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""trade_lanes"", ""shock_type"": ""tariff"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""tariff_and_customs_review""}","{""canonical_context"": ""tariff_trade_compliance_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""trade_lanes"", ""shock_type"": ""tariff"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""tariff_and_customs_review""}",,existing development-enriched node context,high,Preserved without modification.
case_2018_2019_us_china_tariffs,trade policy and tariffs,customs,already_migrated,"{""canonical_context"": ""tariff_customs_compliance_constraint"", ""constraint_type"": ""compliance_constraint"", ""node"": ""customs"", ""shock_type"": ""tariff"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""tariff_classification_review""}","{""canonical_context"": ""tariff_customs_compliance_constraint"", ""constraint_type"": ""compliance_constraint"", ""node"": ""customs"", ""shock_type"": ""tariff"", ""target_node_role"": ""compliance_channel"", ""upstream_driver"": ""tariff_classification_review""}",,existing development-enriched node context,high,Preserved without modification.
case_2018_2019_us_china_tariffs,trade policy and tariffs,manufacturing_inputs,vocabulary_gap_candidate,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,medium,No frozen canonical_context precisely represents this node's mechanism.
case_2018_2019_us_china_tariffs,trade policy and tariffs,agriculture,resolvable,{},"{""canonical_context"": ""agricultural_export_trade_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""agriculture"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""downstream_exposure"", ""upstream_driver"": ""tariff_announcements""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2018_2019_us_china_tariffs,trade policy and tariffs,logistics,resolvable,{},"{""canonical_context"": ""maritime_route_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""logistics"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""tariff_announcements""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_gas_fertilizer_shock,energy and agricultural input shock,energy,already_migrated,"{""canonical_context"": ""energy_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""energy"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""natural_gas_feedstock_shortage""}","{""canonical_context"": ""energy_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""energy"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""natural_gas_feedstock_shortage""}",,existing development-enriched node context,high,Preserved without modification.
case_2022_gas_fertilizer_shock,energy and agricultural input shock,fertilizer,resolvable,{},"{""canonical_context"": ""agricultural_input_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""fertilizer"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""gas_supply_uncertainty""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_gas_fertilizer_shock,energy and agricultural input shock,agriculture,resolvable,{},"{""canonical_context"": ""agricultural_input_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""agriculture"", ""shock_type"": ""sanctions"", ""target_node_role"": ""downstream_exposure"", ""upstream_driver"": ""gas_supply_uncertainty""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_2022_gas_fertilizer_shock,energy and agricultural input shock,petrochemicals,already_migrated,"{""canonical_context"": ""petrochemical_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""petrochemicals"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""natural_gas_feedstock_shortage""}","{""canonical_context"": ""petrochemical_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""petrochemicals"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""natural_gas_feedstock_shortage""}",,existing development-enriched node context,high,Preserved without modification.
case_2022_gas_fertilizer_shock,energy and agricultural input shock,manufacturing_inputs,vocabulary_gap_candidate,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,medium,No frozen canonical_context precisely represents this node's mechanism.
case_middle_east_oil_supply_disruption,energy infrastructure disruption,energy,ambiguous,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,low,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_middle_east_oil_supply_disruption,energy infrastructure disruption,refining,already_migrated,"{""canonical_context"": ""refining_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""refining"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""crude_supply_disruption""}","{""canonical_context"": ""refining_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""refining"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""upstream_input"", ""upstream_driver"": ""crude_supply_disruption""}",,existing development-enriched node context,high,Preserved without modification.
case_middle_east_oil_supply_disruption,energy infrastructure disruption,petrochemicals,resolvable,{},"{""canonical_context"": ""petrochemical_feedstock_constraint"", ""constraint_type"": ""input_shortage"", ""node"": ""petrochemicals"", ""shock_type"": ""physical_disruption"", ""target_node_role"": ""downstream_exposure"", ""upstream_driver"": ""infrastructure_attack""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_middle_east_oil_supply_disruption,energy infrastructure disruption,aviation,ambiguous,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,low,Existing frozen vocabulary and raw case fields do not support a precise node-level context.
case_middle_east_oil_supply_disruption,energy infrastructure disruption,oil_shipping,resolvable,{},"{""canonical_context"": ""oil_shipping_security_constraint"", ""constraint_type"": ""route_disruption"", ""node"": ""oil_shipping"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""infrastructure_attack""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,foundry,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""foundry"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""transmission_channel"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,ai_chips,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""ai_chips"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,semiconductor_equipment,resolvable,{},"{""canonical_context"": ""semiconductor_export_control_constraint"", ""constraint_type"": ""trade_access_restriction"", ""node"": ""semiconductor_equipment"", ""shock_type"": ""export_restriction"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,data_centers,resolvable,{},"{""canonical_context"": ""logistics_cyber_capacity_constraint"", ""constraint_type"": ""capacity_reduction"", ""node"": ""data_centers"", ""shock_type"": ""cyber_disruption"", ""target_node_role"": ""direct_disruption_target"", ""upstream_driver"": ""regional_military_tension""}",,"event_type, supply_chain_nodes, affected_asset_types, affected_assets, transmission_chain, summary",medium,Conservative frozen-vocabulary proposal from existing historical fields.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,manufacturing_inputs,vocabulary_gap_candidate,{},{},shock_type;constraint_type;upstream_driver;target_node_role;canonical_context,,medium,No frozen canonical_context precisely represents this node's mechanism.
case_taiwan_strait_semiconductor_risk,regional military tension and semiconductor supply risk,defense,already_migrated,"{""canonical_context"": ""semiconductor_strategic_downstream_exposure"", ""constraint_type"": ""security_risk"", ""node"": ""defense"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""downstream_strategic_exposure"", ""upstream_driver"": ""advanced_chip_supply_uncertainty""}","{""canonical_context"": ""semiconductor_strategic_downstream_exposure"", ""constraint_type"": ""security_risk"", ""node"": ""defense"", ""shock_type"": ""military_escalation"", ""target_node_role"": ""downstream_strategic_exposure"", ""upstream_driver"": ""advanced_chip_supply_uncertainty""}",,existing development-enriched node context,high,Preserved without modification.
