event_source,event_id,event_name,event_type,expected_historical_cases,retrieved_case_count,retrieved_case_ids,raw_second_order_nodes,accepted_second_order_nodes,dropped_by_support_requirement,mapped_second_order_nodes,unmapped_accepted_second_order_nodes,second_order_assets,second_order_ranked_assets,historical_supported_second_order,sector_proxy_second_order,inference_only_second_order
evaluation_cases,eval_uranium_nuclear_fuel_disruption,eval_uranium_nuclear_fuel_disruption,uranium_supply_chain_risk,case_uranium_nuclear_fuel_supply_disruption,5,case_uranium_nuclear_fuel_supply_disruption;case_2023_niger_coup_uranium_supply_risk;case_russia_ukraine_energy_shock;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2009_russia_ukraine_gas_transit_dispute,10,2,8,2,0,4,4,2,2,0
evaluation_cases,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,critical_minerals_export_controls,case_2023_china_graphite_battery_export_controls,5,case_2023_china_graphite_battery_export_controls;case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2020_indonesia_nickel_export_ban;case_2022_chile_lithium_policy_shift,7,2,5,2,0,4,4,0,4,0
evaluation_cases,eval_opec_oil_policy_shock,eval_opec_oil_policy_shock,oil_policy_shock,case_2020_opec_plus_production_cut;case_opec_production_cut_policy_shock,5,case_opec_production_cut_policy_shock;case_2020_opec_plus_production_cut;case_middle_east_oil_supply_disruption;case_2022_abu_dhabi_oil_facility_attack;case_2024_ukraine_drone_attacks_russian_refineries,2,0,2,0,0,0,0,0,0,0
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,cyber_infrastructure_disruption,case_2023_port_of_nagoya_cyberattack;case_cyberattack_pipeline_port_infrastructure,5,case_cyberattack_pipeline_port_infrastructure;case_2023_port_of_nagoya_cyberattack;case_2017_notpetya_shipping_logistics_cyberattack;case_2023_dp_world_australia_cyber_port_disruption;case_2021_colonial_pipeline_ransomware,5,2,3,2,0,4,4,0,4,0
evaluation_cases,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,defense_spending_shock,case_2023_middle_east_defense_supply_escalation;case_defense_spending_shock_after_escalation,5,case_2023_middle_east_defense_supply_escalation;case_defense_spending_shock_after_escalation;case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks;case_2019_turkey_f35_s400_defense_restrictions,7,3,4,3,0,6,6,0,6,0
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,grain_export_disruption,case_2022_india_wheat_export_ban,5,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security;case_black_sea_grain_export_disruption;case_2023_black_sea_shipping_insurance_restrictions;case_2022_russia_fertilizer_export_restrictions,5,3,2,3,0,6,6,0,6,0
hard_evaluation_cases,hard_red_sea_paraphrased_vessel_rerouting,hard_red_sea_paraphrased_vessel_rerouting,geopolitical_risk_event,case_2023_red_sea_attacks,5,case_2022_abu_dhabi_oil_facility_attack;case_2023_red_sea_attacks;case_1987_1988_tanker_war_reflagging;case_2008_somali_piracy_gulf_of_aden;case_middle_east_oil_supply_disruption,12,0,12,0,0,0,0,0,0,0
hard_evaluation_cases,hard_semiconductor_controls_paraphrased,hard_semiconductor_controls_paraphrased,technology_export_controls,case_2022_us_china_semiconductor_controls;case_2023_dutch_asml_controls,5,case_2023_japan_chip_equipment_export_controls;case_2022_us_china_semiconductor_controls;case_2019_huawei_entity_list;case_2020_smic_entity_list_semiconductor_controls;case_2023_dutch_asml_controls,1,1,0,1,0,2,2,0,2,0
hard_evaluation_cases,hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,war_and_sanctions_energy_disruption,case_hormuz_tanker_tensions,5,case_hormuz_tanker_tensions;case_2023_red_sea_attacks;case_russia_ukraine_energy_shock;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_israel_iran_escalation_energy_risk,9,3,6,3,0,6,6,4,2,0
hard_evaluation_cases,hard_middle_east_energy_ambiguous,hard_middle_east_energy_ambiguous,geopolitical_risk_event,case_middle_east_oil_supply_disruption;case_2022_abu_dhabi_oil_facility_attack,5,case_middle_east_oil_supply_disruption;case_2022_abu_dhabi_oil_facility_attack;case_2024_ukraine_drone_attacks_russian_refineries;case_opec_production_cut_policy_shock;case_1987_1988_tanker_war_reflagging,11,0,11,0,0,0,0,0,0,0
hard_evaluation_cases,hard_financial_sanctions_payment_networks,hard_financial_sanctions_payment_networks,geopolitical_risk_event,case_2022_russia_swift_financial_sanctions,5,case_2022_russia_swift_financial_sanctions;case_2014_crimea_financial_sanctions;case_2019_india_pakistan_airspace_closure;case_2018_iran_swift_restrictions;case_2023_red_sea_attacks,15,0,15,0,0,0,0,0,0,0
hard_evaluation_cases,hard_port_labor_without_strike_keyword,hard_port_labor_without_strike_keyword,geopolitical_risk_event,case_2024_us_east_gulf_port_strike,5,case_2024_us_east_gulf_port_strike;case_2023_red_sea_attacks;case_2021_suez_blockage;case_panama_canal_drought_shipping_capacity;case_2022_turkey_strait_tanker_insurance_backlog,15,0,15,0,0,0,0,0,0,0
hard_evaluation_cases,hard_food_export_ban_paraphrased,hard_food_export_ban_paraphrased,geopolitical_risk_event,case_2022_india_wheat_export_ban,5,case_2022_india_wheat_export_ban;case_2023_black_sea_shipping_insurance_restrictions;case_2008_rice_export_restrictions_food_security;case_2022_russia_fertilizer_export_restrictions;case_black_sea_grain_export_disruption,11,0,11,0,0,0,0,0,0,0
hard_evaluation_cases,hard_aerospace_sanctions_supply_chain,hard_aerospace_sanctions_supply_chain,geopolitical_risk_event,case_2022_russia_aviation_supply_chain_sanctions,5,case_2022_russia_aviation_supply_chain_sanctions;case_2019_huawei_entity_list;case_2022_russia_airspace_closure_aviation_routes;case_2019_india_pakistan_airspace_closure;case_2019_turkey_f35_s400_defense_restrictions,13,0,13,0,0,0,0,0,0,0
hard_evaluation_cases,hard_taiwan_semiconductor_indirect,hard_taiwan_semiconductor_indirect,technology_export_controls,case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk,5,case_taiwan_strait_semiconductor_risk;case_2024_taiwan_strait_drills_semiconductor_supply;case_2022_us_china_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2020_smic_entity_list_semiconductor_controls,3,2,1,2,0,4,4,0,4,0
hard_evaluation_cases,hard_cyber_infrastructure_indirect,hard_cyber_infrastructure_indirect,cyber_infrastructure_disruption,case_2023_port_of_nagoya_cyberattack;case_cyberattack_pipeline_port_infrastructure,5,case_2023_port_of_nagoya_cyberattack;case_cyberattack_pipeline_port_infrastructure;case_2023_dp_world_australia_cyber_port_disruption;case_2017_notpetya_shipping_logistics_cyberattack;case_2021_colonial_pipeline_ransomware,5,2,3,2,0,4,4,0,4,0
hard_evaluation_cases,hard_negative_consumer_product_launch,hard_negative_consumer_product_launch,geopolitical_risk_event,,5,case_2023_china_graphite_battery_export_controls;case_2022_chile_lithium_policy_shift;case_china_gallium_germanium_graphite_controls;case_2024_ev_tariff_escalation_china;case_2020_smic_entity_list_semiconductor_controls,13,0,13,0,0,0,0,0,0,0
hard_evaluation_cases,hard_negative_sports_and_media,hard_negative_sports_and_media,geopolitical_risk_event,,5,case_2022_russia_swift_financial_sanctions;case_2022_russia_aviation_supply_chain_sanctions;case_2022_turkey_strait_tanker_insurance_backlog;case_2022_russia_airspace_closure_aviation_routes;case_2023_arctic_lng_russian_energy_shipping_sanctions,15,0,15,0,0,0,0,0,0,0
validation_v3,v3_20250404_china_rare_earth_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,critical_minerals_export_controls,,5,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls;case_2024_ev_tariff_escalation_china;case_2023_china_graphite_battery_export_controls,8,3,5,3,0,6,6,0,6,0
validation_v3,v3_20250225_copper_import_investigation,U.S. launches Section 232 investigation into copper import dependence,critical_minerals_export_controls,,5,case_2023_panama_cobre_mine_closure;case_2021_xinjiang_forced_labor_import_restrictions;case_rare_earth_export_restriction_risk;case_2022_peru_mine_protests_copper_supply;case_2023_mexico_nearshoring_cross_border_policy_risk,7,4,3,4,0,8,8,0,8,0
validation_v3,v3_20240624_eu_russian_lng_transshipment_ban,EU sanctions package bans Russian LNG transshipment services through EU territory,war_and_sanctions_energy_disruption,,5,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_russia_ukraine_energy_shock;case_2014_crimea_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2022_russia_swift_financial_sanctions,7,6,1,6,0,12,12,2,10,0
validation_v3,v3_20240306_true_confidence_attack,Houthi anti-ship missile strikes M/V True Confidence in Gulf of Aden,maritime_security_disruption,,5,case_1987_1988_tanker_war_reflagging;case_2023_south_china_sea_shipping_tensions;case_2023_red_sea_attacks;case_2008_somali_piracy_gulf_of_aden;case_2017_north_korea_missile_escalation,6,2,4,2,0,4,4,0,4,0
validation_v3,v3_20241203_iran_shadow_fleet_sanctions,U.S. sanctions Iranian shadow-fleet petroleum transport entities and vessels,regional_energy_escalation,,5,case_2018_iran_oil_sanctions_reimposition;case_2019_cosco_shipping_sanctions_tanker_market;case_2018_iran_swift_restrictions;case_1987_1988_tanker_war_reflagging;case_2023_arctic_lng_russian_energy_shipping_sanctions,7,5,2,5,0,10,10,0,10,0
validation_v3,v3_20240223_sovcomflot_sanctions,U.S. sanctions Sovcomflot and tankers tied to Russian oil shipping,war_and_sanctions_energy_disruption,,5,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2019_venezuela_oil_sanctions;case_2018_iran_oil_sanctions_reimposition;case_russia_ukraine_energy_shock;case_2024_ukraine_drone_attacks_russian_refineries,7,4,3,4,0,8,8,2,6,0
validation_v3,v3_20240913_ustr_section301_tariffs_final,USTR finalizes China Section 301 tariff modifications after four-year review,critical_minerals_export_controls,,5,case_china_gallium_germanium_graphite_controls;case_2024_ev_tariff_escalation_china;case_2023_china_graphite_battery_export_controls;case_2023_panama_cobre_mine_closure;case_2021_xinjiang_forced_labor_import_restrictions,7,3,4,3,0,6,6,0,6,0
validation_v3,v3_20250730_copper_tariffs,U.S. imposes Section 232 tariffs on copper products,critical_minerals_export_controls,,5,case_2023_panama_cobre_mine_closure;case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions;case_2018_2019_us_china_tariffs;case_rare_earth_export_restriction_risk,7,3,4,3,0,6,6,0,6,0
validation_v3,v3_20240821_sounion_tanker_attack,MV Sounion oil tanker attacked in the Red Sea,maritime_security_disruption,,5,case_2023_red_sea_attacks;case_1987_1988_tanker_war_reflagging;case_hormuz_tanker_tensions;case_israel_iran_escalation_energy_risk;case_2022_abu_dhabi_oil_facility_attack,5,3,2,3,0,6,6,2,4,0
validation_v3,v3_20250110_us_russia_oil_sanctions,U.S. sanctions Russian oil producers and shadow-fleet vessels,war_and_sanctions_energy_disruption,,5,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions,7,6,1,6,0,12,12,2,10,0
validation_v3,v3_20250224_eu_16th_russia_sanctions,EU adopts 16th Russia sanctions package targeting shadow fleet and military suppliers,war_and_sanctions_energy_disruption,,5,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2014_crimea_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_russia_ukraine_energy_shock;case_2022_russia_swift_financial_sanctions,7,6,1,6,0,12,12,2,10,0
validation_v3,v3_20250201_canada_mexico_china_tariffs,"U.S. imposes tariffs on imports from Canada, Mexico and China",trade_policy_and_tariffs,,5,case_2018_2019_us_china_tariffs;case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2023_eu_carbon_border_adjustment_mechanism,6,1,5,1,0,2,2,0,2,0
