supply_chain_node,sector,ticker,asset_name,asset_type,region,notes,linkage_tier,linkage_rationale
eda_software,Semiconductor Software,SNPS,Synopsys Inc,Stock,United States,Electronic design automation software provider for chip design workflows,direct_exposure,Core operations or products are directly tied to the eda_software node: Electronic design automation software provider for chip design workflows
eda_software,Semiconductor Software,CDNS,Cadence Design Systems Inc,Stock,United States,Electronic design automation software provider for semiconductor design,direct_exposure,Core operations or products are directly tied to the eda_software node: Electronic design automation software provider for semiconductor design
foundry,Semiconductors,TSM,Taiwan Semiconductor Manufacturing Company ADR,ADR,Asia,Leading semiconductor foundry exposed to advanced manufacturing supply chains,direct_exposure,Core operations or products are directly tied to the foundry node: Leading semiconductor foundry exposed to advanced manufacturing supply chains
foundry,Semiconductors,GFS,GlobalFoundries Inc,Stock,Global,Contract semiconductor manufacturer with US and international fab exposure,direct_exposure,Core operations or products are directly tied to the foundry node: Contract semiconductor manufacturer with US and international fab exposure
data_centers,Digital Infrastructure,EQIX,Equinix Inc,REIT,Global,Data center REIT exposed to cloud and colocation demand,direct_exposure,Core operations or products are directly tied to the data_centers node: Data center REIT exposed to cloud and colocation demand
data_centers,Digital Infrastructure,DLR,Digital Realty Trust Inc,REIT,Global,Data center REIT with global colocation and cloud infrastructure exposure,direct_exposure,Core operations or products are directly tied to the data_centers node: Data center REIT with global colocation and cloud infrastructure exposure
trade_lanes,Logistics,EXPD,Expeditors International of Washington Inc,Stock,Global,Freight forwarder exposed to global trade lanes and customs flows,related_exposure,"Freight forwarding participates in global trade-lane activity, but trade_lanes is a broad route and flow condition across diversified logistics services."
trade_lanes,Logistics,DHL.DE,DHL Group,Stock,Europe,Global logistics operator exposed to parcel freight and trade lane activity,related_exposure,"Global logistics operations participate in trade lanes, but trade_lanes is a broad cross-border flow condition rather than a specific core node business."
customs,Logistics,DSGX,The Descartes Systems Group Inc,Stock,North America,Logistics software provider with customs and trade compliance exposure,direct_exposure,Core operations or products are directly tied to the customs node: Logistics software provider with customs and trade compliance exposure
customs,Logistics,CHRW,C H Robinson Worldwide Inc,Stock,United States,Freight broker and logistics provider exposed to customs and shipping flows,related_exposure,"Freight brokerage and logistics services are affected by customs flows, but customs is one operating component within broader logistics activity."
manufacturing_inputs,Industrials,DE,Deere & Company,Stock,United States,Equipment manufacturer exposed to agriculture and industrial input cycles,related_exposure,Business has meaningful but diversified or indirect economic linkage to the manufacturing_inputs node: Equipment manufacturer exposed to agriculture and industrial input cycles
manufacturing_inputs,Industrials,CAT,Caterpillar Inc,Stock,Global,Heavy equipment manufacturer exposed to construction mining and infrastructure inputs,related_exposure,Business has meaningful but diversified or indirect economic linkage to the manufacturing_inputs node: Heavy equipment manufacturer exposed to construction mining and infrastructure inputs
agriculture,Agriculture,ADM,Archer-Daniels-Midland Company,Stock,Global,Agricultural processor and merchandiser exposed to crop flows and food supply chains,related_exposure,"ADM materially participates in agriculture, but agriculture is a broad sector node spanning diversified processing, merchandising, and supply-chain operations."
agriculture,Agriculture,MOO,VanEck Agribusiness ETF,ETF,Global,Basket exposure to agribusiness equipment inputs and food supply chains,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the agriculture node: Basket exposure to agribusiness equipment inputs and food supply chains"
fertilizer,Agriculture,NTR,Nutrien Ltd,Stock,North America,Fertilizer producer and distributor exposed to potash nitrogen and crop input demand,direct_exposure,Core operations or products are directly tied to the fertilizer node: Fertilizer producer and distributor exposed to potash nitrogen and crop input demand
fertilizer,Agriculture,CF,CF Industries Holdings Inc,Stock,North America,Nitrogen fertilizer producer exposed to natural gas feedstock costs,direct_exposure,Core operations or products are directly tied to the fertilizer node: Nitrogen fertilizer producer exposed to natural gas feedstock costs
logistics,Logistics,KNIN.SW,Kuehne + Nagel International AG,Stock,Europe,Global freight forwarding and logistics company,direct_exposure,Core operations or products are directly tied to the logistics node: Global freight forwarding and logistics company
logistics,Logistics,JBHT,J B Hunt Transport Services Inc,Stock,United States,Intermodal and trucking logistics provider exposed to freight demand,direct_exposure,Core operations or products are directly tied to the logistics node: Intermodal and trucking logistics provider exposed to freight demand
defense,Defense,LMT,Lockheed Martin Corporation,Stock,United States,Defense contractor exposed to government security and defense spending priorities,direct_exposure,Core operations or products are directly tied to the defense node: Defense contractor exposed to government security and defense spending priorities
defense,Defense,ITA,iShares U S Aerospace & Defense ETF,ETF,United States,ETF exposure to US aerospace and defense companies,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the defense node: ETF exposure to US aerospace and defense companies"
broad_etf,Broad Market,SPY,SPDR S&P 500 ETF Trust,ETF,United States,Broad US equity ETF for market-wide context rather than a trading signal,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the broad_etf node: Broad US equity ETF for market-wide context rather than a trading signal"
broad_etf,Broad Market,ACWI,iShares MSCI ACWI ETF,ETF,Global,Broad global equity ETF for cross-market context rather than a trading signal,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the broad_etf node: Broad global equity ETF for cross-market context rather than a trading signal"
critical_minerals,Metals & Mining,REMX,VanEck Rare Earth and Strategic Metals ETF,ETF,Global,Basket exposure to rare earth and strategic metals producers used in critical supply chains,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the critical_minerals node: Basket exposure to rare earth and strategic metals producers used in critical supply chains"
critical_minerals,Metals & Mining,PICK,iShares MSCI Global Metals & Mining Producers ETF,ETF,Global,Broad metals and mining producer ETF with critical materials exposure,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the critical_minerals node: Broad metals and mining producer ETF with critical materials exposure"
rare_earths,Metals & Mining,MP,MP Materials Corp,Stock,United States,Rare earth mining and processing company exposed to magnet materials supply chains,direct_exposure,Core operations or products are directly tied to the rare_earths node: Rare earth mining and processing company exposed to magnet materials supply chains
rare_earths,Metals & Mining,LYSDY,Lynas Rare Earths Ltd ADR,ADR,Australia,Rare earth producer with exposure to non-China rare earth supply chains,direct_exposure,Core operations or products are directly tied to the rare_earths node: Rare earth producer with exposure to non-China rare earth supply chains
gallium_germanium_graphite,Specialty Materials,NEO.TO,Neo Performance Materials Inc,Stock,Canada,Specialty materials company exposed to rare earth and engineered material supply chains,related_exposure,"Specialty materials operations are exposed to engineered and rare-earth material supply chains, but the bundled gallium, germanium, and graphite node is narrower than the company's broader materials business."
gallium_germanium_graphite,Battery Materials,SYR.AX,Syrah Resources Ltd,Stock,Australia,Graphite producer exposed to battery anode material supply chains,related_exposure,"Graphite production links the company to part of this node, but the bundled gallium, germanium, and graphite node is only partly specific to its core operations."
panama_canal,Shipping,LPG,Dorian LPG Ltd,Stock,Global,LPG carrier operator with exposure to global maritime route constraints including canal transit disruptions,related_exposure,"LPG carrier operations are affected by Panama Canal route constraints, but the canal is a route dependency rather than the company's core operating activity."
panama_canal,Shipping,SBLK,Star Bulk Carriers Corp,Stock,Global,Dry bulk shipping company exposed to grain and commodity route disruptions,related_exposure,"Dry bulk shipping operations are affected by Panama Canal route constraints, but the canal is a route dependency rather than the company's core operating activity."
grain_exports,Agriculture,ADM,Archer-Daniels-Midland Company,Stock,Global,Agricultural processor and merchandiser exposed to grain export flows,related_exposure,"ADM participates in grain export flows, but grain_exports is one channel within diversified agricultural processing and merchandising operations."
grain_exports,Agriculture,BG,Bunge Global SA,Stock,Global,Agribusiness company exposed to grain oilseed and food commodity trade flows,related_exposure,"Bunge participates in grain and oilseed export flows, but grain_exports is one channel within a diversified agribusiness and commodity platform."
cyber_infrastructure,Cybersecurity,CIBR,First Trust NASDAQ Cybersecurity ETF,ETF,United States,Cybersecurity ETF exposure to companies supporting infrastructure cyber resilience,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the cyber_infrastructure node: Cybersecurity ETF exposure to companies supporting infrastructure cyber resilience"
cyber_infrastructure,Cybersecurity,CRWD,CrowdStrike Holdings Inc,Stock,United States,Cybersecurity provider exposed to enterprise and infrastructure security demand,direct_exposure,Core operations or products are directly tied to the cyber_infrastructure node: Cybersecurity provider exposed to enterprise and infrastructure security demand
pipeline_infrastructure,Energy Infrastructure,ENB,Enbridge Inc,Stock,North America,Pipeline and energy infrastructure operator exposed to fuel transport networks,direct_exposure,Core operations or products are directly tied to the pipeline_infrastructure node: Pipeline and energy infrastructure operator exposed to fuel transport networks
pipeline_infrastructure,Energy Infrastructure,TRP.TO,TC Energy Corporation,Stock,North America,Pipeline and energy infrastructure company exposed to natural gas and liquids transport,direct_exposure,Core operations or products are directly tied to the pipeline_infrastructure node: Pipeline and energy infrastructure company exposed to natural gas and liquids transport
uranium,Uranium,URA,Global X Uranium ETF,ETF,Global,Basket exposure to uranium miners and nuclear fuel-cycle companies,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the uranium node: Basket exposure to uranium miners and nuclear fuel-cycle companies"
uranium,Uranium,CCJ,Cameco Corporation,Stock,Canada,Uranium producer exposed to nuclear fuel supply chains,direct_exposure,Core operations or products are directly tied to the uranium node: Uranium producer exposed to nuclear fuel supply chains
nuclear_fuel,Nuclear Energy,URNM,Sprott Uranium Miners ETF,ETF,Global,Uranium and nuclear fuel-cycle ETF exposure for nuclear supply-chain monitoring,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the nuclear_fuel node: Uranium and nuclear fuel-cycle ETF exposure for nuclear supply-chain monitoring"
nuclear_fuel,Nuclear Energy,LEU,Centrus Energy Corp,Stock,United States,Nuclear fuel supplier exposed to uranium enrichment and fuel-cycle services,direct_exposure,Core operations or products are directly tied to the nuclear_fuel node: Nuclear fuel supplier exposed to uranium enrichment and fuel-cycle services
financial_sanctions,Financials,XLF,Financial Select Sector SPDR Fund,ETF,United States,Broad US financial sector ETF for sanctions and banking exposure context,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the financial_sanctions node: Broad US financial sector ETF for sanctions and banking exposure context"
financial_sanctions,Financials,EUFN,iShares MSCI Europe Financials ETF,ETF,Europe,European financial sector ETF for cross-border banking exposure context,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the financial_sanctions node: European financial sector ETF for cross-border banking exposure context"
payment_networks,Payments,V,Visa Inc,Stock,Global,Global payments network exposed to cross-border payment and compliance channels,direct_exposure,Core operations or products are directly tied to the payment_networks node: Global payments network exposed to cross-border payment and compliance channels
payment_networks,Payments,MA,Mastercard Incorporated,Stock,Global,Global payments network exposed to payment-routing and compliance channels,direct_exposure,Core operations or products are directly tied to the payment_networks node: Global payments network exposed to payment-routing and compliance channels
taiwan_semiconductor_supply,Semiconductors,TSM,Taiwan Semiconductor Manufacturing Company ADR,ADR,Asia,Leading Taiwan foundry exposed to advanced semiconductor supply-chain concentration,direct_exposure,Core operations or products are directly tied to the taiwan_semiconductor_supply node: Leading Taiwan foundry exposed to advanced semiconductor supply-chain concentration
taiwan_semiconductor_supply,Country ETF,EWT,iShares MSCI Taiwan ETF,ETF,Asia,Taiwan equity ETF with significant technology and semiconductor supply-chain exposure,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the taiwan_semiconductor_supply node: Taiwan equity ETF with significant technology and semiconductor supply-chain exposure"
battery_materials,Battery Materials,LIT,Global X Lithium & Battery Tech ETF,ETF,Global,Basket exposure to lithium battery materials and battery technology supply chains,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the battery_materials node: Basket exposure to lithium battery materials and battery technology supply chains"
battery_materials,Chemicals,ALB,Albemarle Corporation,Stock,Global,Lithium producer exposed to battery material supply chains,direct_exposure,Core operations or products are directly tied to the battery_materials node: Lithium producer exposed to battery material supply chains
graphite,Battery Materials,NMG,Nouveau Monde Graphite Inc,Stock,North America,Graphite developer exposed to battery anode material supply chains,direct_exposure,Core operations or products are directly tied to the graphite node: Graphite developer exposed to battery anode material supply chains
graphite,Battery Materials,SYR.AX,Syrah Resources Ltd,Stock,Australia,Graphite producer exposed to battery anode material supply chains,direct_exposure,Core operations or products are directly tied to the graphite node: Graphite producer exposed to battery anode material supply chains
port_labor,Shipping,ZIM,ZIM Integrated Shipping Services Ltd,Stock,Global,Container shipping operator exposed to port throughput and labor disruption channels,related_exposure,"Container shipping operations are affected by port labor disruption, but port labor is an operating constraint rather than the company's core business activity."
port_labor,Logistics,EXPD,Expeditors International of Washington Inc,Stock,Global,Freight forwarder exposed to port congestion and customs flow disruptions,related_exposure,"Freight forwarding services are affected by port congestion and labor disruption, but port labor is an indirect operating condition within broader forwarding services."
food_export_controls,Agriculture,DBA,Invesco DB Agriculture Fund,ETF,Global,Agriculture commodity ETF exposure for food export restriction monitoring,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the food_export_controls node: Agriculture commodity ETF exposure for food export restriction monitoring"
food_export_controls,Agriculture,WEAT,Teucrium Wheat Fund,ETF,Global,Wheat-focused commodity ETF exposure for grain trade restriction monitoring,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the food_export_controls node: Wheat-focused commodity ETF exposure for grain trade restriction monitoring"
aerospace_supply_chain,Aerospace,BA,Boeing Company,Stock,United States,Aerospace manufacturer exposed to aircraft supply-chain and sanctions channels,related_exposure,"Aircraft manufacturing depends on aerospace supply chains, but supply-chain disruption is an input dependency rather than Boeing's primary revenue-generating activity."
aerospace_supply_chain,Aerospace,AIR.PA,Airbus SE,Stock,Europe,Aerospace manufacturer exposed to aircraft supply-chain and export restriction channels,related_exposure,"Aircraft manufacturing depends on aerospace supply chains, but supply-chain disruption is an input dependency rather than Airbus's primary revenue-generating activity."
