event_source,event_id,event_name,expected_case,retrieval_rank,retrieved_case_id,retrieval_relevance,retrieved_case_event_type,retrieved_case_nodes,retrieved_case_asset_types,retrieved_case_assets
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,False,3,case_2021_xinjiang_forced_labor_import_restrictions,semantic_distance=0.6561,forced-labor import restriction and customs compliance risk,customs;trade_lanes;manufacturing_inputs;critical_minerals;logistics,solar equipment manufacturers;electronics importers;retailers;logistics providers;customs brokers,solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows
evaluation_cases,eval_middle_east_oil_infrastructure_attack,eval_middle_east_oil_infrastructure_attack,True,1,case_middle_east_oil_supply_disruption,semantic_distance=0.3147,energy infrastructure disruption,energy;refining;petrochemicals;aviation;oil_shipping,crude oil;energy producers;refiners;petrochemical producers;airlines;tanker operators,Saudi crude exports;global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs
evaluation_cases,eval_middle_east_oil_infrastructure_attack,eval_middle_east_oil_infrastructure_attack,False,2,case_2022_abu_dhabi_oil_facility_attack,semantic_distance=0.3463,energy infrastructure disruption,energy;oil_shipping;refining;petrochemicals;aviation;defense,crude oil;energy producers;refiners;airlines;tanker operators;defense contractors,UAE energy infrastructure;regional crude exports;jet fuel supply chains;tanker routes;air defense systems
evaluation_cases,eval_middle_east_oil_infrastructure_attack,eval_middle_east_oil_infrastructure_attack,False,3,case_opec_production_cut_policy_shock,semantic_distance=0.5213,oil supply policy shock,energy;oil_shipping;refining;petrochemicals;aviation,crude oil;energy producers;refiners;airlines;petrochemical producers;transportation companies,global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs;transport fuel costs
evaluation_cases,eval_hormuz_tanker_tensions,eval_hormuz_tanker_tensions,True,1,case_hormuz_tanker_tensions,semantic_distance=0.6539,energy chokepoint security risk,maritime_chokepoint;oil_shipping;lng_shipping;marine_insurance;energy;refining,crude oil;LNG;tanker operators;energy producers;refiners;marine insurers,Persian Gulf crude exports;LNG cargoes from Qatar;tanker fleets;oil importers;refining margins
evaluation_cases,eval_hormuz_tanker_tensions,eval_hormuz_tanker_tensions,False,2,case_1987_1988_tanker_war_reflagging,semantic_distance=0.6671,maritime chokepoint security and oil shipping disruption,maritime_chokepoint;oil_shipping;marine_insurance;freight_routes;energy;defense;logistics,tanker operators;energy producers;marine insurers;logistics providers;defense contractors,Persian Gulf tanker routes;crude oil cargo schedules;marine war-risk insurance;energy shipping logistics
evaluation_cases,eval_hormuz_tanker_tensions,eval_hormuz_tanker_tensions,False,3,case_israel_iran_escalation_energy_risk,semantic_distance=0.6733,regional military escalation and energy chokepoint risk,defense;energy;maritime_chokepoint;oil_shipping;lng_shipping;marine_insurance;refining,crude oil;LNG;tanker operators;marine insurers;defense contractors;refiners,Persian Gulf crude exports;LNG cargo flows;tanker routes;marine insurance premiums;regional defense demand
evaluation_cases,eval_suez_canal_blockage,eval_suez_canal_blockage,True,1,case_2021_suez_blockage,semantic_distance=0.4280,shipping chokepoint disruption,maritime_chokepoint;container_shipping;ports;freight_routes;logistics;energy,shipping equities;logistics companies;port operators;retail supply chains;energy cargoes,container shipping operators;freight forwarders;European and Asian importers;oil and LNG cargo flows
evaluation_cases,eval_suez_canal_blockage,eval_suez_canal_blockage,False,2,case_2023_red_sea_attacks,semantic_distance=0.4934,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
evaluation_cases,eval_suez_canal_blockage,eval_suez_canal_blockage,False,3,case_2024_us_east_gulf_port_strike,semantic_distance=0.6767,port labor and shipping logistics disruption,port_labor;ports;container_shipping;freight_routes;logistics;trade_lanes,port operators;container shipping companies;freight forwarders;retailers;manufacturers,US East Coast port throughput;container shipping schedules;retail import flows;manufacturing inputs
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,False,1,case_2020_smic_entity_list_semiconductor_controls,semantic_distance=0.4938,semiconductor entity-list export control and foundry access risk,semiconductor_equipment;foundry;eda_software;customs;manufacturing_inputs;data_centers,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,True,2,case_2019_huawei_entity_list,semantic_distance=0.5018,technology sanctions and trade restrictions,ai_chips;semiconductor_equipment;eda_software;manufacturing_inputs;data_centers;customs,telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,False,3,case_2022_us_china_semiconductor_controls,semantic_distance=0.5018,technology export controls,ai_chips;semiconductor_equipment;eda_software;foundry;data_centers,semiconductor equipment companies;advanced chip designers;foundries;Chinese technology firms;electronics supply chains,advanced GPU supply;wafer fabrication equipment;EDA software access;Chinese data center operators;global semiconductor suppliers
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,True,1,case_2023_dutch_asml_controls,semantic_distance=0.3506,technology export controls,semiconductor_equipment;foundry;customs,semiconductor equipment companies;foundries;chip manufacturers;electronics supply chains,advanced lithography tools;Chinese semiconductor fabs;European chip equipment suppliers;global foundry capacity plans
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,False,2,case_2020_smic_entity_list_semiconductor_controls,semantic_distance=0.4210,semiconductor entity-list export control and foundry access risk,semiconductor_equipment;foundry;eda_software;customs;manufacturing_inputs;data_centers,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,False,3,case_2023_japan_chip_equipment_export_controls,semantic_distance=0.4389,semiconductor equipment export control and customs licensing risk,semiconductor_equipment;ai_chips;foundry;customs;data_centers;manufacturing_inputs,semiconductor equipment suppliers;foundries;AI chip designers;electronics manufacturers;data center operators,Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement
evaluation_cases,eval_taiwan_strait_semiconductor_risk,eval_taiwan_strait_semiconductor_risk,False,1,case_2024_taiwan_strait_drills_semiconductor_supply,semantic_distance=0.3097,taiwan strait semiconductor supply-chain disruption,taiwan_semiconductor_supply;foundry;ai_chips;semiconductor_equipment;data_centers;defense,semiconductor foundries;AI chip designers;semiconductor equipment companies;electronics manufacturers;data center suppliers,Taiwan advanced foundry capacity;AI accelerator supply chains;semiconductor equipment demand planning;electronics hardware supply
evaluation_cases,eval_taiwan_strait_semiconductor_risk,eval_taiwan_strait_semiconductor_risk,True,2,case_taiwan_strait_semiconductor_risk,semantic_distance=0.3236,regional military tension and semiconductor supply risk,foundry;ai_chips;semiconductor_equipment;data_centers;manufacturing_inputs;defense,semiconductor foundries;advanced chip designers;electronics manufacturers;data center suppliers;defense contractors,Taiwan semiconductor fabrication capacity;advanced GPU supply chains;consumer electronics supply chains;cloud data center hardware
evaluation_cases,eval_taiwan_strait_semiconductor_risk,eval_taiwan_strait_semiconductor_risk,False,3,case_2023_japan_chip_equipment_export_controls,semantic_distance=0.6773,semiconductor equipment export control and customs licensing risk,semiconductor_equipment;ai_chips;foundry;customs;data_centers;manufacturing_inputs,semiconductor equipment suppliers;foundries;AI chip designers;electronics manufacturers;data center operators,Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement
evaluation_cases,eval_rare_earth_critical_minerals_controls,eval_rare_earth_critical_minerals_controls,True,1,case_china_gallium_germanium_graphite_controls,semantic_distance=0.3240,critical minerals export controls,critical_minerals;gallium_germanium_graphite;semiconductor_equipment;ai_chips;manufacturing_inputs;customs,semiconductor suppliers;battery manufacturers;solar equipment producers;EV supply chains;critical mineral processors,gallium and germanium supply;graphite anode materials;compound semiconductor inputs;battery material supply chains
evaluation_cases,eval_rare_earth_critical_minerals_controls,eval_rare_earth_critical_minerals_controls,True,2,case_rare_earth_export_restriction_risk,semantic_distance=0.3926,critical minerals export restriction,rare_earths;critical_minerals;manufacturing_inputs;defense;energy,rare earth miners;magnet producers;EV supply chains;wind turbine manufacturers;defense electronics suppliers,rare earth oxide supply;permanent magnet supply chains;EV motor components;wind turbine components;defense sensor components
evaluation_cases,eval_rare_earth_critical_minerals_controls,eval_rare_earth_critical_minerals_controls,False,3,case_2023_china_graphite_battery_export_controls,semantic_distance=0.4439,battery material export controls,battery_materials;graphite;critical_minerals;gallium_germanium_graphite;manufacturing_inputs;customs,battery material producers;EV manufacturers;graphite miners;critical mineral processors;electronics supply chains,graphite anode materials;battery cell inputs;EV battery supply chains;critical mineral processing capacity
evaluation_cases,eval_panama_canal_drought_shipping,eval_panama_canal_drought_shipping,True,1,case_panama_canal_drought_shipping_capacity,semantic_distance=0.4721,climate-related shipping chokepoint disruption,panama_canal;maritime_chokepoint;container_shipping;freight_routes;lng_shipping;agriculture;logistics,shipping companies;LNG cargoes;grain exporters;freight forwarders;import-dependent supply chains,Panama Canal transit slots;US Gulf grain exports;LNG cargo routes;container shipping schedules
evaluation_cases,eval_panama_canal_drought_shipping,eval_panama_canal_drought_shipping,False,2,case_2023_red_sea_attacks,semantic_distance=0.7568,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
evaluation_cases,eval_panama_canal_drought_shipping,eval_panama_canal_drought_shipping,False,3,case_2024_us_east_gulf_port_strike,semantic_distance=0.7928,port labor and shipping logistics disruption,port_labor;ports;container_shipping;freight_routes;logistics;trade_lanes,port operators;container shipping companies;freight forwarders;retailers;manufacturers,US East Coast port throughput;container shipping schedules;retail import flows;manufacturing inputs
evaluation_cases,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,True,1,case_black_sea_grain_export_disruption,semantic_distance=0.3822,war-related agricultural export disruption,grain_exports;agriculture;freight_routes;maritime_chokepoint;fertilizer;logistics,grain traders;agricultural commodities;food producers;shipping companies;fertilizer producers,Black Sea wheat exports;corn export flows;grain shipping corridors;food manufacturing inputs
evaluation_cases,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,False,2,case_2023_black_sea_shipping_insurance_restrictions,semantic_distance=0.4359,war-related maritime insurance and grain export disruption,grain_exports;agriculture;maritime_chokepoint;marine_insurance;freight_routes;logistics,grain traders;shipping companies;marine insurers;food producers;agricultural commodities,Ukrainian grain exports;Black Sea shipping routes;marine war-risk insurance;grain import supply chains
evaluation_cases,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,False,3,case_2023_red_sea_attacks,semantic_distance=0.6289,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
evaluation_cases,eval_uranium_nuclear_fuel_disruption,eval_uranium_nuclear_fuel_disruption,True,1,case_uranium_nuclear_fuel_supply_disruption,semantic_distance=0.3084,nuclear fuel supply-chain risk,uranium;nuclear_fuel;energy;trade_lanes;customs;manufacturing_inputs,uranium miners;nuclear fuel processors;electric utilities;energy infrastructure;industrial fuel-cycle suppliers,uranium concentrate supply;conversion services;enrichment services;nuclear utility fuel inventories;fuel-cycle logistics
evaluation_cases,eval_uranium_nuclear_fuel_disruption,eval_uranium_nuclear_fuel_disruption,False,2,case_2023_niger_coup_uranium_supply_risk,semantic_distance=0.4474,coup and uranium supply-chain risk,uranium;nuclear_fuel;energy;trade_lanes;customs;logistics,uranium miners;nuclear fuel suppliers;utilities;logistics providers;energy infrastructure,Niger uranium exports;European nuclear fuel procurement;uranium conversion and enrichment planning;utility fuel inventories
evaluation_cases,eval_uranium_nuclear_fuel_disruption,eval_uranium_nuclear_fuel_disruption,False,3,case_russia_ukraine_energy_shock,semantic_distance=0.7412,war and sanctions energy disruption,energy;lng_shipping;refining;petrochemicals;manufacturing_inputs,natural gas;crude oil;utilities;chemicals;metals producers;LNG infrastructure,European gas benchmarks;LNG import terminals;energy-intensive manufacturers;power utilities;fertilizer producers
evaluation_cases,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,True,1,case_2023_china_graphite_battery_export_controls,semantic_distance=0.2019,battery material export controls,battery_materials;graphite;critical_minerals;gallium_germanium_graphite;manufacturing_inputs;customs,battery material producers;EV manufacturers;graphite miners;critical mineral processors;electronics supply chains,graphite anode materials;battery cell inputs;EV battery supply chains;critical mineral processing capacity
evaluation_cases,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,False,2,case_china_gallium_germanium_graphite_controls,semantic_distance=0.2923,critical minerals export controls,critical_minerals;gallium_germanium_graphite;semiconductor_equipment;ai_chips;manufacturing_inputs;customs,semiconductor suppliers;battery manufacturers;solar equipment producers;EV supply chains;critical mineral processors,gallium and germanium supply;graphite anode materials;compound semiconductor inputs;battery material supply chains
evaluation_cases,eval_china_graphite_battery_controls,eval_china_graphite_battery_controls,False,3,case_rare_earth_export_restriction_risk,semantic_distance=0.5093,critical minerals export restriction,rare_earths;critical_minerals;manufacturing_inputs;defense;energy,rare earth miners;magnet producers;EV supply chains;wind turbine manufacturers;defense electronics suppliers,rare earth oxide supply;permanent magnet supply chains;EV motor components;wind turbine components;defense sensor components
evaluation_cases,eval_opec_oil_policy_shock,eval_opec_oil_policy_shock,True,1,case_opec_production_cut_policy_shock,semantic_distance=0.3959,oil supply policy shock,energy;oil_shipping;refining;petrochemicals;aviation,crude oil;energy producers;refiners;airlines;petrochemical producers;transportation companies,global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs;transport fuel costs
evaluation_cases,eval_opec_oil_policy_shock,eval_opec_oil_policy_shock,True,2,case_2020_opec_plus_production_cut,semantic_distance=0.4607,oil supply policy shock,energy;oil_shipping;refining;petrochemicals;aviation,crude oil;energy producers;refiners;airlines;petrochemical producers;transportation companies,global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs;transport fuel costs
evaluation_cases,eval_opec_oil_policy_shock,eval_opec_oil_policy_shock,False,3,case_middle_east_oil_supply_disruption,semantic_distance=0.5848,energy infrastructure disruption,energy;refining;petrochemicals;aviation;oil_shipping,crude oil;energy producers;refiners;petrochemical producers;airlines;tanker operators,Saudi crude exports;global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,True,1,case_cyberattack_pipeline_port_infrastructure,semantic_distance=0.3630,cyber infrastructure disruption,cyber_infrastructure;pipeline_infrastructure;ports;energy;logistics;freight_routes,pipeline operators;port operators;fuel distributors;logistics providers;cybersecurity companies,fuel pipeline networks;port terminal operations;truck and freight distribution;cybersecurity services
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,True,2,case_2023_port_of_nagoya_cyberattack,semantic_distance=0.5607,cyber infrastructure disruption,cyber_infrastructure;ports;logistics;freight_routes;manufacturing_inputs,port operators;logistics providers;automakers;cybersecurity companies;manufacturers,container terminal operations;automotive parts logistics;port scheduling systems;cybersecurity services
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,False,3,case_2017_notpetya_shipping_logistics_cyberattack,semantic_distance=0.5894,geopolitical cyberattack and logistics disruption,cyber_infrastructure;container_shipping;ports;freight_routes;logistics;manufacturing_inputs,shipping companies;port operators;logistics providers;manufacturers;cybersecurity providers,container booking systems;terminal operations;global freight schedules;manufacturing delivery networks
evaluation_cases,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,True,1,case_2023_middle_east_defense_supply_escalation,semantic_distance=0.4457,defense supply-chain escalation,defense;manufacturing_inputs;ai_chips;cyber_infrastructure;aerospace_supply_chain,defense contractors;aerospace suppliers;munitions producers;defense electronics firms;cybersecurity providers,missile defense systems;precision munitions;radar components;secure communications equipment;defense electronics supply chains
evaluation_cases,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,True,2,case_defense_spending_shock_after_escalation,semantic_distance=0.5475,defense spending policy shock,defense;manufacturing_inputs;semiconductor_equipment;ai_chips;cyber_infrastructure,defense contractors;aerospace suppliers;defense electronics firms;cybersecurity providers;industrial manufacturers,missile defense systems;munitions supply chains;radar and sensor components;secure communications systems
evaluation_cases,eval_defense_supply_chain_escalation,eval_defense_supply_chain_escalation,False,3,case_2017_north_korea_missile_escalation,semantic_distance=0.6362,missile escalation and regional security risk,defense;aviation;trade_lanes;manufacturing_inputs;logistics;semiconductor_equipment,defense contractors;airlines;electronics manufacturers;logistics providers;regional exporters,missile defense systems;East Asian air routes;electronics manufacturing supply chains;regional logistics networks
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,True,1,case_2022_india_wheat_export_ban,semantic_distance=0.3768,food export ban and grain trade restriction,food_export_controls;grain_exports;agriculture;trade_lanes;customs;logistics,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,False,2,case_2008_rice_export_restrictions_food_security,semantic_distance=0.4947,food export controls and agricultural trade disruption,agriculture;grain_exports;food_export_controls;trade_lanes;customs;logistics,grain traders;food producers;agricultural processors;logistics providers;commodity funds,rice export flows;grain import procurement;food processing inputs;agricultural trade lanes
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,False,3,case_black_sea_grain_export_disruption,semantic_distance=0.4971,war-related agricultural export disruption,grain_exports;agriculture;freight_routes;maritime_chokepoint;fertilizer;logistics,grain traders;agricultural commodities;food producers;shipping companies;fertilizer producers,Black Sea wheat exports;corn export flows;grain shipping corridors;food manufacturing inputs
hard_evaluation_cases,hard_red_sea_paraphrased_vessel_rerouting,hard_red_sea_paraphrased_vessel_rerouting,False,1,case_2022_abu_dhabi_oil_facility_attack,semantic_distance=0.8556,energy infrastructure disruption,energy;oil_shipping;refining;petrochemicals;aviation;defense,crude oil;energy producers;refiners;airlines;tanker operators;defense contractors,UAE energy infrastructure;regional crude exports;jet fuel supply chains;tanker routes;air defense systems
hard_evaluation_cases,hard_red_sea_paraphrased_vessel_rerouting,hard_red_sea_paraphrased_vessel_rerouting,True,2,case_2023_red_sea_attacks,semantic_distance=0.8738,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
hard_evaluation_cases,hard_red_sea_paraphrased_vessel_rerouting,hard_red_sea_paraphrased_vessel_rerouting,False,3,case_1987_1988_tanker_war_reflagging,semantic_distance=0.8864,maritime chokepoint security and oil shipping disruption,maritime_chokepoint;oil_shipping;marine_insurance;freight_routes;energy;defense;logistics,tanker operators;energy producers;marine insurers;logistics providers;defense contractors,Persian Gulf tanker routes;crude oil cargo schedules;marine war-risk insurance;energy shipping logistics
hard_evaluation_cases,hard_semiconductor_controls_paraphrased,hard_semiconductor_controls_paraphrased,False,1,case_2023_japan_chip_equipment_export_controls,semantic_distance=0.4364,semiconductor equipment export control and customs licensing risk,semiconductor_equipment;ai_chips;foundry;customs;data_centers;manufacturing_inputs,semiconductor equipment suppliers;foundries;AI chip designers;electronics manufacturers;data center operators,Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement
hard_evaluation_cases,hard_semiconductor_controls_paraphrased,hard_semiconductor_controls_paraphrased,True,2,case_2022_us_china_semiconductor_controls,semantic_distance=0.4670,technology export controls,ai_chips;semiconductor_equipment;eda_software;foundry;data_centers,semiconductor equipment companies;advanced chip designers;foundries;Chinese technology firms;electronics supply chains,advanced GPU supply;wafer fabrication equipment;EDA software access;Chinese data center operators;global semiconductor suppliers
hard_evaluation_cases,hard_semiconductor_controls_paraphrased,hard_semiconductor_controls_paraphrased,False,3,case_2019_huawei_entity_list,semantic_distance=0.5412,technology sanctions and trade restrictions,ai_chips;semiconductor_equipment;eda_software;manufacturing_inputs;data_centers;customs,telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans
hard_evaluation_cases,hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,True,1,case_hormuz_tanker_tensions,semantic_distance=0.5958,energy chokepoint security risk,maritime_chokepoint;oil_shipping;lng_shipping;marine_insurance;energy;refining,crude oil;LNG;tanker operators;energy producers;refiners;marine insurers,Persian Gulf crude exports;LNG cargoes from Qatar;tanker fleets;oil importers;refining margins
hard_evaluation_cases,hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,False,2,case_2023_red_sea_attacks,semantic_distance=0.6345,maritime security disruption,maritime_chokepoint;container_shipping;freight_routes;marine_insurance;oil_shipping;lng_shipping;logistics,shipping equities;freight rates;marine insurers;energy transport;import-dependent retailers,container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters
hard_evaluation_cases,hard_hormuz_ambiguous_energy_shipping,hard_hormuz_ambiguous_energy_shipping,False,3,case_russia_ukraine_energy_shock,semantic_distance=0.6487,war and sanctions energy disruption,energy;lng_shipping;refining;petrochemicals;manufacturing_inputs,natural gas;crude oil;utilities;chemicals;metals producers;LNG infrastructure,European gas benchmarks;LNG import terminals;energy-intensive manufacturers;power utilities;fertilizer producers
hard_evaluation_cases,hard_middle_east_energy_ambiguous,hard_middle_east_energy_ambiguous,True,1,case_middle_east_oil_supply_disruption,semantic_distance=0.8168,energy infrastructure disruption,energy;refining;petrochemicals;aviation;oil_shipping,crude oil;energy producers;refiners;petrochemical producers;airlines;tanker operators,Saudi crude exports;global crude benchmarks;refinery feedstocks;jet fuel supply chains;petrochemical inputs
